1412	1280	1321	761	534	446	430	347	614	527	827	555
612	357	477	401	310	365	309	218	232	470	533	1546
1319	1776	1623	892	596	469	618	442	384	694	1132	1290
1587	1428	920	1133	662	502	438	380	333	486	739	1409
1830	1064	1544	1118	673	661	512	405	314	411	394	1095
1460	1555	871	704	502	380	414	261	241	456	987	1196
958	1143	1266	962	775	753	784	744	1068	917	1373	1915
1986	1616	1193	1189	698	596	467	363	583	420	832	1449
1919	1268	1224	756	707	699	495	372	354	494	892	1100
1385	2413	1422	963	808	642	578	552	733	527	946	1651
2690	1929	1121	1709	915	784	674	487	492	459	824	1762
2713	1297	1216	917	698	704	504	469	355	819	1325	2333
2417	1820	2845	1651	1061	952	760	627	488	769	798	2073
3506	3230	3046	2327	1572	2303	1308	921	1889	1822	1989	3123
2192	1315	994	914	861	577	466	482	547	424	631	1326
2594	2210	2434	1343	881	680	565	476	503	470	759	1036
1716	1540	1365	806	833	555	565	590	369	294	343	1700
1945	1757	1209	1232	838	703	548	434	573	459	590	1345
1303	1788	1421	843	713	645	435	384	321	563	655	810
1795	1580	1619	893	596	553	487	476	487	437	512	1128
1364	639	1086	723	630	428	432	405	462	443	384	591
1926	1981	1764	1915	1032	677	579	425	390	666	458	809
2875	2406	1408	1052	1003	614	597	448	695	796	1298	1188
1301	1938	1512	1103	717	727	502	435	457	566	437	705
1927	845	1224	775	868	563	458	352	273	306	460	1062
924	2788	1193	998	741	532	471	311	273	637	617	988
1928	1231	1431	829	664	499	442	389	681	518	1455	1736
3621	1824	1498	1066	765	863	578	437	405	502	715	1185
1191	1248	965	676	571	513	362	360	260	501	525	1010
1681	1410	1545	754	531	502	400	278	290	210	335	796
2248	1817	1376	811	540	493	419	380	558	302	703	1013
